crime_id,timestamp,date,hour,time_of_day,latitude,longitude,borough,district,h3_cell,crime_type,severity_score,victim_count,weapon_reported,police_called,estimated_police_eta_min,public_visibility_score,is_decoy_event
CRM_00000000,2025-01-01 00:02:48,2025-01-01,0,night,40.67339,-73.9656,Brooklyn,Brooklyn_Central_9,882a100db5fffff,vehicle_theft,3.92,0,False,True,5.5,0.475,False
CRM_00000001,2025-01-01 00:12:33,2025-01-01,0,night,40.84752,-73.8472,Bronx,Bronx_Southeast_4,882a1001e9fffff,suspicious_activity,2.17,0,False,True,6.3,0.625,True
CRM_00000002,2025-01-01 00:38:05,2025-01-01,0,night,40.85656,-73.92903,Manhattan,Manhattan_Northwest_8,882a100ae1fffff,burglary,4.97,1,False,True,4.8,0.311,False
CRM_00000003,2025-01-01 00:49:44,2025-01-01,0,night,40.7238,-74.00853,Manhattan,Manhattan_Central_0,882a1072c5fffff,pursuit,6.66,0,True,True,4.3,0.723,False
CRM_00000004,2025-01-01 00:51:36,2025-01-01,0,night,40.81054,-73.95247,Manhattan,Manhattan_South_5,882a1008cbfffff,major_incident,10.0,7,True,True,3.3,0.553,False
CRM_00000005,2025-01-01 00:59:17,2025-01-01,0,night,40.61377,-73.83301,Queens,Queens_Northeast_2,882a10390bfffff,vehicle_theft,4.86,0,False,True,10.5,0.619,False
CRM_00000006,2025-01-01 01:00:37,2025-01-01,1,night,40.85087,-73.93494,Manhattan,Manhattan_Northwest_8,882a100ae7fffff,burglary,5.44,0,False,True,5.8,0.198,False
CRM_00000007,2025-01-01 01:03:33,2025-01-01,1,night,40.84944,-73.93873,Manhattan,Manhattan_Northwest_8,882a100ae7fffff,property_damage,3.34,0,False,True,4.7,0.468,False
CRM_00000008,2025-01-01 01:12:34,2025-01-01,1,night,40.69539,-73.76993,Queens,Queens_West_7,882a1005a5fffff,suspicious_activity,3.26,0,False,True,7.6,0.384,False
CRM_00000009,2025-01-01 01:14:19,2025-01-01,1,night,40.67705,-73.97227,Brooklyn,Brooklyn_Central_9,882a100da3fffff,vehicle_theft,4.32,0,False,True,5.3,0.465,False
