sequence_id,split,hist_t-5_lat,hist_t-5_lon,hist_t-5_hours_before_target,hist_t-4_lat,hist_t-4_lon,hist_t-4_hours_before_target,hist_t-3_lat,hist_t-3_lon,hist_t-3_hours_before_target,hist_t-2_lat,hist_t-2_lon,hist_t-2_hours_before_target,hist_t-1_lat,hist_t-1_lon,hist_t-1_hours_before_target,target_timestamp,target_latitude,target_longitude
SEQ_0000000,train,40.59937,-74.01136,0.601,40.66973,-73.92685,0.376,40.74103,-73.99383,0.244,40.82637,-73.94648,0.074,40.82414,-73.93966,0.038,2025-01-01 00:39:30.867820432,40.82064,-73.92469
SEQ_0000001,train,40.66973,-73.92685,0.67,40.74103,-73.99383,0.539,40.82637,-73.94648,0.368,40.82414,-73.93966,0.332,40.82064,-73.92469,0.294,2025-01-01 00:57:10.317124361,40.75981,-73.80918
SEQ_0000002,train,40.74103,-73.99383,0.6,40.82637,-73.94648,0.43,40.82414,-73.93966,0.394,40.82064,-73.92469,0.356,40.75981,-73.80918,0.062,2025-01-01 01:00:52.783386175,40.77402,-73.82675
SEQ_0000003,train,40.82637,-73.94648,0.457,40.82414,-73.93966,0.421,40.82064,-73.92469,0.383,40.75981,-73.80918,0.089,40.77402,-73.82675,0.027,2025-01-01 01:02:31.061582961,40.76838,-73.831
SEQ_0000004,train,40.82414,-73.93966,0.423,40.82064,-73.92469,0.385,40.75981,-73.80918,0.091,40.77402,-73.82675,0.029,40.76838,-73.831,0.002,2025-01-01 01:02:37.988711678,40.76958,-73.8192
SEQ_0000005,train,40.82064,-73.92469,0.398,40.75981,-73.80918,0.104,40.77402,-73.82675,0.042,40.76838,-73.831,0.015,40.76958,-73.8192,0.013,2025-01-01 01:03:24.473080057,40.77426,-73.82794
SEQ_0000006,train,40.75981,-73.80918,0.279,40.77402,-73.82675,0.217,40.76838,-73.831,0.189,40.76958,-73.8192,0.188,40.77426,-73.82794,0.175,2025-01-01 01:13:53.000000000,40.76768,-73.83088
SEQ_0000007,train,40.77402,-73.82675,0.255,40.76838,-73.831,0.227,40.76958,-73.8192,0.225,40.77426,-73.82794,0.212,40.76768,-73.83088,0.038,2025-01-01 01:16:09.000000000,40.72737,-73.83298
SEQ_0000008,train,40.76838,-73.831,1.959,40.76958,-73.8192,1.958,40.77426,-73.82794,1.945,40.76768,-73.83088,1.77,40.72737,-73.83298,1.732,2025-01-01 03:00:05.000000000,40.6201,-73.89714
SEQ_0000009,train,40.76958,-73.8192,2.232,40.77426,-73.82794,2.219,40.76768,-73.83088,2.045,40.72737,-73.83298,2.007,40.6201,-73.89714,0.275,2025-01-01 03:16:34.000000000,40.62239,-74.0111
SEQ_0000010,train,40.77426,-73.82794,2.467,40.76768,-73.83088,2.292,40.72737,-73.83298,2.254,40.6201,-73.89714,0.522,40.62239,-74.0111,0.248,2025-01-01 03:31:25.000000000,40.59069,-73.84668
SEQ_0000011,train,40.76768,-73.83088,2.381,40.72737,-73.83298,2.344,40.6201,-73.89714,0.611,40.62239,-74.0111,0.337,40.59069,-73.84668,0.089,2025-01-01 03:36:46.000000000,40.64092,-73.8994
SEQ_0000012,train,40.72737,-73.83298,2.639,40.6201,-73.89714,0.906,40.62239,-74.0111,0.632,40.59069,-73.84668,0.384,40.64092,-73.8994,0.295,2025-01-01 03:54:28.000000000,40.57518,-73.99483
SEQ_0000013,train,40.6201,-73.89714,6.13,40.62239,-74.0111,5.856,40.59069,-73.84668,5.608,40.64092,-73.8994,5.519,40.57518,-73.99483,5.224,2025-01-01 09:07:54.000000000,40.6559,-74.00105
SEQ_0000014,train,40.62239,-74.0111,7.017,40.59069,-73.84668,6.769,40.64092,-73.8994,6.68,40.57518,-73.99483,6.385,40.6559,-74.00105,1.161,2025-01-01 10:17:35.000000000,40.81879,-73.96513
SEQ_0000015,train,40.59069,-73.84668,7.715,40.64092,-73.8994,7.626,40.57518,-73.99483,7.331,40.6559,-74.00105,2.107,40.81879,-73.96513,0.945,2025-01-01 11:14:18.000000000,40.79966,-73.89192
SEQ_0000016,train,40.64092,-73.8994,7.786,40.57518,-73.99483,7.491,40.6559,-74.00105,2.267,40.81879,-73.96513,1.106,40.79966,-73.89192,0.161,2025-01-01 11:23:56.000000000,40.73554,-73.90947
SEQ_0000017,train,40.57518,-73.99483,7.767,40.6559,-74.00105,2.543,40.81879,-73.96513,1.382,40.79966,-73.89192,0.436,40.73554,-73.90947,0.276,2025-01-01 11:40:29.000000000,40.6727,-73.99788
