zone_id,borough,district,h3_cell,centroid_lat,centroid_lon,population_density_score,nightlife_score,commercial_score,residential_score,patrol_activity_score
ZON_000000,Manhattan,Manhattan_Central_0,882a1072c7fffff,40.71787,-74.01097,0.736,0.432,0.387,0.788,0.474
ZON_000001,Manhattan,Manhattan_North_1,882a100d2dfffff,40.74617,-73.99119,0.447,0.334,1.0,0.692,0.279
ZON_000002,Manhattan,Manhattan_Northeast_2,882a1008bbfffff,40.77322,-73.97517,1.0,0.262,0.764,0.569,0.493
ZON_000003,Manhattan,Manhattan_East_3,882a100891fffff,40.78185,-73.95779,0.816,0.523,0.803,0.63,0.554
ZON_000004,Manhattan,Manhattan_Southeast_4,882a100881fffff,40.79926,-73.96965,0.612,0.078,0.465,0.872,0.19
ZON_000005,Manhattan,Manhattan_South_5,882a1008ddfffff,40.80533,-73.94776,0.569,0.506,0.619,0.803,0.284
ZON_000006,Manhattan,Manhattan_Southwest_6,882a1008c1fffff,40.81874,-73.96454,0.704,0.379,0.721,0.794,0.334
ZON_000007,Manhattan,Manhattan_West_7,882a100aabfffff,40.83354,-73.93658,0.67,0.506,0.483,0.884,0.656
ZON_000008,Manhattan,Manhattan_Northwest_8,882a100aedfffff,40.85989,-73.93353,0.828,0.569,0.576,0.734,0.368
ZON_000009,Brooklyn,Brooklyn_Central_0,882a107427fffff,40.58878,-74.01537,0.937,0.27,0.543,0.838,0.412
ZON_000010,Brooklyn,Brooklyn_North_1,882a10740bfffff,40.59211,-73.9746,0.458,0.282,0.559,0.759,0.311
ZON_000011,Brooklyn,Brooklyn_Northeast_2,882a1076e5fffff,40.59933,-73.93156,0.407,0.643,0.803,0.712,0.489
ZON_000012,Brooklyn,Brooklyn_East_3,882a1076cdfffff,40.60671,-73.89941,0.425,0.485,0.804,0.747,0.459
ZON_000013,Brooklyn,Brooklyn_Southeast_4,882a10773bfffff,40.62979,-74.00729,0.668,0.427,0.551,0.755,0.457
ZON_000014,Brooklyn,Brooklyn_South_5,882a107719fffff,40.6335,-73.97375,0.517,0.608,0.213,0.904,0.451
ZON_000015,Brooklyn,Brooklyn_Southwest_6,882a107601fffff,40.6335,-73.92825,0.545,0.071,0.335,0.979,0.305
ZON_000016,Brooklyn,Brooklyn_West_7,882a107659fffff,40.63607,-73.8858,0.561,0.548,0.779,0.519,0.24
ZON_000017,Brooklyn,Brooklyn_Northwest_8,882a10776bfffff,40.6627,-73.99976,0.108,0.901,0.782,0.719,0.331
ZON_000018,Brooklyn,Brooklyn_Central_9,882a107749fffff,40.67425,-73.97129,0.369,0.312,0.457,0.97,0.287
ZON_000019,Brooklyn,Brooklyn_North_10,882a100d9dfffff,40.67685,-73.92853,0.429,0.177,0.543,0.805,0.222
ZON_000020,Brooklyn,Brooklyn_Northeast_11,882a100cabfffff,40.6717,-73.88664,0.453,0.495,0.58,0.826,0.205
ZON_000021,Queens,Queens_Central_0,882a107655fffff,40.63339,-73.90563,0.555,0.02,0.191,0.953,0.164
ZON_000022,Queens,Queens_North_1,882a10392bfffff,40.61539,-73.86409,0.21,0.254,0.35,0.841,0.125
ZON_000023,Queens,Queens_Northeast_2,882a10382dfffff,40.61024,-73.80584,0.599,0.71,0.256,0.754,0.41
ZON_000024,Queens,Queens_East_3,882a103841fffff,40.61956,-73.76177,0.475,0.314,0.777,0.754,0.265
ZON_000025,Queens,Queens_Southeast_4,882a100dd7fffff,40.6858,-73.92303,0.702,0.185,0.437,0.706,0.49
ZON_000026,Queens,Queens_South_5,882a100c8dfffff,40.68,-73.8675,0.321,0.344,0.718,0.624,0.24
ZON_000027,Queens,Queens_Southwest_6,882a103b6dfffff,40.68,-73.8045,0.309,0.73,0.38,0.747,0.271
ZON_000028,Queens,Queens_West_7,882a1005bdfffff,40.68344,-73.75143,0.575,0.523,0.847,0.647,0.441
ZON_000029,Queens,Queens_Northwest_8,882a100c2dfffff,40.7317,-73.91719,0.498,0.553,0.69,0.699,0.328
ZON_000030,Queens,Queens_Central_9,882a100c41fffff,40.74531,-73.86529,0.513,0.435,0.126,1.0,0.427
ZON_000031,Queens,Queens_North_10,882a100e19fffff,40.75154,-73.80435,0.64,0.649,0.346,0.732,0.386
ZON_000032,Queens,Queens_Northeast_11,882a100501fffff,40.7453,-73.7465,0.731,0.598,0.217,1.0,0.413
ZON_000033,Bronx,Bronx_Central_0,882a100a97fffff,40.81487,-73.90388,0.496,0.255,0.553,0.777,0.313
ZON_000034,Bronx,Bronx_North_1,882a1001abfffff,40.81845,-73.86124,0.331,0.378,0.093,0.985,0.285
ZON_000035,Bronx,Bronx_Northeast_2,882a1001d5fffff,40.82609,-73.82478,0.59,0.249,0.378,0.809,0.245
ZON_000036,Bronx,Bronx_East_3,882a100acbfffff,40.85151,-73.89501,0.338,0.379,0.192,1.0,0.245
