weather_id,date,hour,temperature_c,precipitation_mm,wind_kmh,visibility_m,cloud_cover,condition
WTH_00000000,2025-01-01,0,3.6,0.0,11.0,11875.0,0.61,cloudy
WTH_00000001,2025-01-01,1,3.8,0.0,8.2,11526.0,0.18,clear
WTH_00000002,2025-01-01,2,9.0,0.0,16.1,11487.0,0.16,clear
WTH_00000003,2025-01-01,3,2.2,0.0,16.0,11630.0,0.37,clear
WTH_00000004,2025-01-01,4,8.4,0.0,0.5,10618.0,0.23,clear
WTH_00000005,2025-01-01,5,4.4,0.0,5.6,10164.0,0.17,clear
WTH_00000006,2025-01-01,6,5.3,0.0,27.5,9799.0,0.19,clear
WTH_00000007,2025-01-01,7,6.6,0.0,12.3,7406.0,0.27,clear
WTH_00000008,2025-01-01,8,5.7,0.0,4.3,9285.0,0.25,clear
WTH_00000009,2025-01-01,9,3.1,0.0,18.2,11901.0,0.33,clear
WTH_00000010,2025-01-01,10,3.0,0.0,11.2,6311.0,0.14,clear
WTH_00000011,2025-01-01,11,-1.6,0.0,5.0,10744.0,0.09,clear
WTH_00000012,2025-01-01,12,0.5,3.41,32.1,1100.0,0.9,snow
WTH_00000013,2025-01-01,13,0.3,0.0,4.4,6995.0,0.21,clear
WTH_00000014,2025-01-01,14,1.2,0.0,5.9,11084.0,0.09,clear
WTH_00000015,2025-01-01,15,-2.2,0.0,2.9,9863.0,0.2,clear
WTH_00000016,2025-01-01,16,2.6,0.0,4.3,10965.0,0.18,clear
WTH_00000017,2025-01-01,17,-3.3,0.0,21.9,9626.0,0.57,clear
WTH_00000018,2025-01-01,18,0.6,0.0,12.0,10287.0,0.09,clear
WTH_00000019,2025-01-01,19,-0.4,0.0,7.5,8707.0,0.49,clear
WTH_00000020,2025-01-01,20,2.0,0.0,25.6,8893.0,0.44,clear
WTH_00000021,2025-01-01,21,2.3,0.0,13.4,9823.0,0.46,clear
WTH_00000022,2025-01-01,22,3.7,0.0,16.3,10093.0,0.11,clear
WTH_00000023,2025-01-01,23,3.8,1.78,0.3,2746.0,0.9,rain
WTH_00000024,2025-01-02,0,6.2,0.0,12.4,6174.0,0.31,clear
WTH_00000025,2025-01-02,1,10.9,0.0,10.4,10857.0,0.47,clear
WTH_00000026,2025-01-02,2,7.8,0.0,8.1,11178.0,0.31,clear
WTH_00000027,2025-01-02,3,5.9,0.0,30.8,8074.0,0.04,clear
WTH_00000028,2025-01-02,4,2.3,0.0,12.4,6268.0,0.26,clear
WTH_00000029,2025-01-02,5,6.9,0.0,10.2,6211.0,0.24,clear
WTH_00000030,2025-01-02,6,2.8,6.39,8.5,2448.0,1.0,rain
WTH_00000031,2025-01-02,7,3.9,0.0,20.4,7016.0,0.6,cloudy
WTH_00000032,2025-01-02,8,0.1,0.0,13.7,9181.0,0.49,clear
WTH_00000033,2025-01-02,9,4.3,0.0,7.6,9873.0,0.56,clear
WTH_00000034,2025-01-02,10,0.2,0.0,2.5,8349.0,0.24,clear
WTH_00000035,2025-01-02,11,-1.7,0.0,5.8,11522.0,0.33,clear
WTH_00000036,2025-01-02,12,-0.1,0.0,15.1,8454.0,0.59,clear
WTH_00000037,2025-01-02,13,-1.4,0.0,19.7,9625.0,0.31,clear
WTH_00000038,2025-01-02,14,-2.9,0.0,24.9,10693.0,0.15,clear
WTH_00000039,2025-01-02,15,-2.6,0.0,30.0,7933.0,0.28,clear
WTH_00000040,2025-01-02,16,-2.1,0.0,10.6,8302.0,0.21,clear
WTH_00000041,2025-01-02,17,0.2,0.0,16.5,10475.0,0.39,clear
WTH_00000042,2025-01-02,18,-0.9,26.82,8.5,2666.0,0.64,snow
WTH_00000043,2025-01-02,19,2.8,0.0,11.9,9887.0,0.12,clear
WTH_00000044,2025-01-02,20,1.0,0.0,10.5,6705.0,0.39,clear
WTH_00000045,2025-01-02,21,2.8,0.0,17.9,8527.0,0.07,clear
WTH_00000046,2025-01-02,22,5.3,0.0,9.5,6831.0,0.24,clear
WTH_00000047,2025-01-02,23,4.3,0.0,13.0,7504.0,0.31,clear
WTH_00000048,2025-01-03,0,7.9,0.0,19.2,11007.0,0.8,cloudy
WTH_00000049,2025-01-03,1,5.4,0.0,9.9,8518.0,0.45,clear
WTH_00000050,2025-01-03,2,4.5,0.0,0.5,8864.0,0.51,clear
WTH_00000051,2025-01-03,3,4.3,0.0,9.1,7133.0,0.38,clear
WTH_00000052,2025-01-03,4,5.0,0.0,22.6,10136.0,0.6,clear
WTH_00000053,2025-01-03,5,4.5,8.43,23.1,3582.0,0.64,rain
WTH_00000054,2025-01-03,6,4.1,0.0,12.2,8124.0,0.18,clear
WTH_00000055,2025-01-03,7,7.1,0.0,11.9,8609.0,0.71,cloudy
WTH_00000056,2025-01-03,8,6.4,3.13,17.2,1954.0,0.92,rain
WTH_00000057,2025-01-03,9,0.6,0.0,6.9,6872.0,0.15,clear
WTH_00000058,2025-01-03,10,-1.1,0.0,11.1,7452.0,0.41,clear
WTH_00000059,2025-01-03,11,-1.6,0.0,3.7,7244.0,0.38,clear
WTH_00000060,2025-01-03,12,-0.0,0.0,3.7,7845.0,0.2,clear
WTH_00000061,2025-01-03,13,-2.8,0.0,6.3,8900.0,0.24,clear
WTH_00000062,2025-01-03,14,-2.7,0.0,8.9,6225.0,0.31,clear
WTH_00000063,2025-01-03,15,1.2,0.0,3.1,11882.0,0.61,cloudy
WTH_00000064,2025-01-03,16,-1.4,0.0,23.2,6739.0,0.33,clear
WTH_00000065,2025-01-03,17,-4.3,0.0,15.1,6653.0,0.22,clear
WTH_00000066,2025-01-03,18,3.9,0.0,5.7,8992.0,0.38,clear
WTH_00000067,2025-01-03,19,-1.2,0.0,8.0,10423.0,0.24,clear
WTH_00000068,2025-01-03,20,4.5,0.0,9.4,8509.0,0.26,clear
WTH_00000069,2025-01-03,21,4.1,0.0,13.7,10107.0,0.16,clear
WTH_00000070,2025-01-03,22,7.7,7.13,7.6,2130.0,0.64,rain
WTH_00000071,2025-01-03,23,1.8,0.0,10.2,11565.0,0.53,clear
WTH_00000072,2025-01-04,0,6.5,0.0,20.7,7654.0,0.04,clear
WTH_00000073,2025-01-04,1,7.6,0.0,17.1,8222.0,0.08,clear
WTH_00000074,2025-01-04,2,8.2,0.0,20.4,8582.0,0.64,cloudy
WTH_00000075,2025-01-04,3,5.3,0.0,20.9,10531.0,0.53,clear
WTH_00000076,2025-01-04,4,9.1,0.0,4.1,8422.0,0.32,clear
WTH_00000077,2025-01-04,5,2.8,0.0,5.3,6341.0,0.24,clear
WTH_00000078,2025-01-04,6,7.4,0.0,4.4,10913.0,0.37,clear
WTH_00000079,2025-01-04,7,0.4,0.0,7.5,8841.0,0.38,clear
WTH_00000080,2025-01-04,8,3.7,0.0,6.3,7765.0,0.43,clear
WTH_00000081,2025-01-04,9,1.3,0.0,4.9,11985.0,0.3,clear
WTH_00000082,2025-01-04,10,0.3,0.0,10.9,6472.0,0.22,clear
WTH_00000083,2025-01-04,11,4.3,0.0,6.6,657.0,0.39,fog
WTH_00000084,2025-01-04,12,1.4,0.0,10.0,8726.0,0.12,clear
WTH_00000085,2025-01-04,13,-3.3,0.0,11.5,8495.0,0.46,clear
WTH_00000086,2025-01-04,14,-0.5,0.0,17.6,6162.0,0.12,clear
WTH_00000087,2025-01-04,15,-2.5,0.0,27.9,7015.0,0.57,clear
WTH_00000088,2025-01-04,16,-1.2,0.0,6.0,7018.0,0.5,clear
WTH_00000089,2025-01-04,17,0.6,0.0,5.4,7426.0,0.6,clear
WTH_00000090,2025-01-04,18,2.7,0.0,4.4,8447.0,0.61,cloudy
WTH_00000091,2025-01-04,19,2.0,0.0,6.7,10770.0,0.35,clear
WTH_00000092,2025-01-04,20,1.8,0.0,15.2,562.0,0.31,fog
WTH_00000093,2025-01-04,21,0.7,0.0,9.0,9850.0,0.25,clear
WTH_00000094,2025-01-04,22,3.8,0.0,0.8,11828.0,0.52,clear
WTH_00000095,2025-01-04,23,5.0,0.0,12.8,9005.0,0.31,clear
WTH_00000096,2025-01-05,0,6.8,0.0,10.1,7400.0,0.55,clear
WTH_00000097,2025-01-05,1,3.4,0.0,11.8,9868.0,0.17,clear
WTH_00000098,2025-01-05,2,7.3,0.0,7.6,9364.0,0.04,clear
WTH_00000099,2025-01-05,3,7.2,0.0,7.5,6737.0,0.16,clear
WTH_00000100,2025-01-05,4,2.4,0.0,1.6,11545.0,0.21,clear
WTH_00000101,2025-01-05,5,5.1,0.0,19.9,8946.0,0.1,clear
WTH_00000102,2025-01-05,6,5.0,0.0,19.7,11981.0,0.09,clear
WTH_00000103,2025-01-05,7,3.2,0.0,14.9,10339.0,0.64,cloudy
WTH_00000104,2025-01-05,8,9.2,0.0,6.3,9372.0,0.35,clear
WTH_00000105,2025-01-05,9,4.9,0.0,8.8,8742.0,0.38,clear
WTH_00000106,2025-01-05,10,-0.3,0.0,13.4,10602.0,0.32,clear
WTH_00000107,2025-01-05,11,-2.2,0.0,3.8,10794.0,0.55,clear
WTH_00000108,2025-01-05,12,4.1,0.0,8.1,6854.0,0.25,clear
WTH_00000109,2025-01-05,13,-1.1,0.0,11.6,9827.0,0.17,clear
WTH_00000110,2025-01-05,14,-2.6,0.0,21.7,6716.0,0.39,clear
WTH_00000111,2025-01-05,15,-3.8,0.0,14.8,9816.0,0.19,clear
WTH_00000112,2025-01-05,16,-5.1,0.0,18.4,6391.0,0.27,clear
WTH_00000113,2025-01-05,17,5.3,0.0,4.3,6076.0,0.21,clear
WTH_00000114,2025-01-05,18,-1.2,0.0,6.9,9809.0,0.39,clear
WTH_00000115,2025-01-05,19,4.4,0.0,31.4,9644.0,0.41,clear
WTH_00000116,2025-01-05,20,0.3,0.0,5.7,8132.0,0.15,clear
WTH_00000117,2025-01-05,21,2.8,0.0,9.3,8378.0,0.34,clear
WTH_00000118,2025-01-05,22,3.7,0.0,14.3,11096.0,0.09,clear
WTH_00000119,2025-01-05,23,4.7,0.0,17.1,7075.0,0.44,clear
WTH_00000120,2025-01-06,0,4.0,0.0,14.5,8123.0,0.32,clear
WTH_00000121,2025-01-06,1,8.2,0.0,33.8,11015.0,0.45,clear
WTH_00000122,2025-01-06,2,6.3,0.0,2.8,10399.0,0.72,cloudy
WTH_00000123,2025-01-06,3,7.8,0.0,18.2,11226.0,0.25,clear
WTH_00000124,2025-01-06,4,5.5,0.0,2.6,7752.0,0.22,clear
WTH_00000125,2025-01-06,5,7.2,0.0,20.7,8871.0,0.14,clear
WTH_00000126,2025-01-06,6,4.5,2.57,8.0,3244.0,0.75,rain
WTH_00000127,2025-01-06,7,3.2,0.0,1.6,7877.0,0.28,clear
WTH_00000128,2025-01-06,8,4.9,0.0,10.7,8243.0,0.3,clear
WTH_00000129,2025-01-06,9,-0.3,0.0,10.5,10493.0,0.46,clear
WTH_00000130,2025-01-06,10,-1.7,0.0,20.7,9730.0,0.34,clear
WTH_00000131,2025-01-06,11,-1.7,0.0,7.7,10990.0,0.28,clear
WTH_00000132,2025-01-06,12,-4.3,0.0,9.7,9615.0,0.61,cloudy
WTH_00000133,2025-01-06,13,2.8,0.0,6.6,7243.0,0.49,clear
WTH_00000134,2025-01-06,14,-2.5,0.0,3.9,10436.0,0.15,clear
WTH_00000135,2025-01-06,15,-1.8,0.0,7.1,7564.0,0.19,clear
WTH_00000136,2025-01-06,16,0.8,0.0,5.2,10290.0,0.37,clear
WTH_00000137,2025-01-06,17,-1.1,0.0,9.9,10151.0,0.47,clear
WTH_00000138,2025-01-06,18,-3.9,0.0,7.2,9389.0,0.65,cloudy
WTH_00000139,2025-01-06,19,4.1,0.0,18.8,10007.0,0.28,clear
WTH_00000140,2025-01-06,20,2.2,0.0,20.9,7944.0,0.4,clear
WTH_00000141,2025-01-06,21,4.9,0.0,11.6,7117.0,0.05,clear
WTH_00000142,2025-01-06,22,3.1,0.0,14.6,8101.0,0.88,cloudy
WTH_00000143,2025-01-06,23,3.8,0.0,29.0,10517.0,0.13,clear
WTH_00000144,2025-01-07,0,5.5,0.0,11.7,8376.0,0.16,clear
WTH_00000145,2025-01-07,1,6.9,0.0,17.2,10734.0,0.52,clear
WTH_00000146,2025-01-07,2,6.4,0.0,31.6,7565.0,0.18,clear
WTH_00000147,2025-01-07,3,2.2,0.0,26.7,8569.0,0.16,clear
WTH_00000148,2025-01-07,4,8.0,0.0,10.9,6373.0,0.23,clear
WTH_00000149,2025-01-07,5,5.9,0.0,5.9,6289.0,0.11,clear
WTH_00000150,2025-01-07,6,5.2,0.0,4.6,9408.0,0.15,clear
WTH_00000151,2025-01-07,7,8.4,0.0,21.9,11278.0,0.2,clear
WTH_00000152,2025-01-07,8,4.1,0.0,16.7,9324.0,0.33,clear
WTH_00000153,2025-01-07,9,-0.9,0.0,3.3,7250.0,0.76,cloudy
WTH_00000154,2025-01-07,10,2.4,0.0,19.2,11920.0,0.45,clear
WTH_00000155,2025-01-07,11,0.4,0.0,9.6,267.0,0.26,fog
WTH_00000156,2025-01-07,12,-2.3,0.0,7.7,10196.0,0.41,clear
WTH_00000157,2025-01-07,13,-2.9,0.0,7.9,10506.0,0.41,clear
WTH_00000158,2025-01-07,14,-1.2,0.0,7.5,9671.0,0.2,clear
WTH_00000159,2025-01-07,15,-1.8,0.0,9.9,9019.0,0.6,cloudy
