witness_id,home_borough,total_reports,reports_with_photo,avg_statement_certainty,preferred_report_channel
WIT_00000000,Brooklyn,10,7,0.387,mobile_app
WIT_00000001,Manhattan,8,4,0.352,camera_network
WIT_00000002,Queens,18,4,0.31,mobile_app
WIT_00000003,Bronx,10,4,0.098,police_scanner
WIT_00000004,Manhattan,9,2,0.509,mobile_app
WIT_00000005,Staten_Island,3,1,0.595,anonymous_tip
WIT_00000006,Brooklyn,14,4,0.482,mobile_app
WIT_00000007,Bronx,8,3,0.23,mobile_app
WIT_00000008,Manhattan,19,7,0.301,mobile_app
WIT_00000009,Staten_Island,9,1,0.201,mobile_app
WIT_00000010,Staten_Island,4,2,0.501,anonymous_tip
WIT_00000011,Queens,13,4,0.187,mobile_app
WIT_00000012,Bronx,9,3,0.459,anonymous_tip
WIT_00000013,Manhattan,17,3,0.319,mobile_app
WIT_00000014,Staten_Island,5,1,0.345,social_media
WIT_00000015,Staten_Island,10,5,0.388,mobile_app
WIT_00000016,Brooklyn,11,0,0.141,anonymous_tip
WIT_00000017,Staten_Island,10,3,0.504,mobile_app
WIT_00000018,Queens,4,3,0.615,police_scanner
WIT_00000019,Brooklyn,15,9,0.26,mobile_app
WIT_00000020,Staten_Island,10,6,0.257,mobile_app
WIT_00000021,Bronx,11,6,0.349,mobile_app
WIT_00000022,Brooklyn,19,10,0.45,mobile_app
WIT_00000023,Manhattan,16,8,0.472,mobile_app
WIT_00000024,Bronx,8,2,0.252,mobile_app
WIT_00000025,Queens,16,9,0.41,mobile_app
WIT_00000026,Staten_Island,5,0,0.467,mobile_app
WIT_00000027,Brooklyn,15,3,0.222,mobile_app
WIT_00000028,Bronx,11,5,0.513,mobile_app
WIT_00000029,Manhattan,12,4,0.338,mobile_app
WIT_00000030,Brooklyn,23,10,0.44,mobile_app
WIT_00000031,Bronx,12,6,0.437,social_media
WIT_00000032,Bronx,9,2,0.494,mobile_app
WIT_00000033,Queens,9,5,0.275,mobile_app
WIT_00000034,Queens,14,7,0.22,mobile_app
WIT_00000035,Brooklyn,24,8,0.522,social_media
WIT_00000036,Queens,9,5,0.253,mobile_app
WIT_00000037,Brooklyn,17,8,0.292,mobile_app
WIT_00000038,Bronx,10,5,0.246,mobile_app
WIT_00000039,Queens,13,6,0.397,mobile_app
WIT_00000040,Staten_Island,7,1,0.378,mobile_app
WIT_00000041,Queens,18,6,0.462,mobile_app
WIT_00000042,Manhattan,11,2,0.233,mobile_app
WIT_00000043,Queens,11,2,0.377,social_media
WIT_00000044,Brooklyn,19,5,0.255,mobile_app
WIT_00000045,Queens,9,4,0.568,anonymous_tip
WIT_00000046,Queens,12,5,0.546,mobile_app
WIT_00000047,Staten_Island,6,2,0.41,mobile_app
WIT_00000048,Manhattan,11,8,0.477,mobile_app
WIT_00000049,Queens,14,3,0.302,mobile_app
WIT_00000050,Queens,11,7,0.594,mobile_app
WIT_00000051,Brooklyn,13,2,0.333,mobile_app
WIT_00000052,Brooklyn,18,5,0.178,mobile_app
WIT_00000053,Queens,11,3,0.31,mobile_app
WIT_00000054,Manhattan,18,4,0.246,mobile_app
WIT_00000055,Manhattan,9,3,0.567,mobile_app
WIT_00000056,Bronx,8,3,0.149,mobile_app
WIT_00000057,Queens,14,3,0.271,mobile_app
WIT_00000058,Staten_Island,9,2,0.489,mobile_app
WIT_00000059,Brooklyn,15,6,0.4,mobile_app
WIT_00000060,Manhattan,17,6,0.444,mobile_app
WIT_00000061,Queens,16,5,0.129,mobile_app
